8010;EP-C96/98-Cyan;Картридж-фотобарабан синий для OKI C9600/9800/9650/9850/9655(30000 стр.);Фотобарабан EP-CART-C-C96/800;42918107;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;3;26;15760;14440;RUB
8014;EP-C96/98-Magenta;Картридж-фотобарабан малиновый для OKI C9600/9800/9650/9850/9655(30000 стр.);Фотобарабан EP-CART-M-C96/800;42918106;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;2;22;15760;14440;RUB
8017;EP-C96/98-Yellow;Картридж-фотобарабан желтый для OKI C9600/9800/9650/9850/9655(30000 стр.);Фотобарабан EP-CART-Y-C96/800;42918105;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;2;33;15760;14440;RUB
33338;EP-CART-B401/MB441/451;Фотокартридж для OKI B401/MB441/451(25000 стр.А4 );Фотокатридж EP-CART-B401/MB441/451;44574307;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;9;20;10710;9810;RUB
8032;EP-CART-B410/430/440;Фотобарабан для OKI B410/430/440/MB460/470/480(25000 стр);Фотобарабан EP-CART-B410/430/440;43979002;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;38;16550;15160;RUB
8047;EP-CART-B411/431-OKI                   ;Монохромный драм картридж 25,000 стр. для B411/412/431/432/512/MB461/471/472/491/492/562;Фотобарабан OKI EP-CART-B411/431 (44574302);44574302;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;2;0;10230;9370;RUB
8207;EP-CART-B42/4300;Картридж-фотобарабан для OKI  B4100/4200/4250/4300/4350, MB-218 ( 25000 стр);Фотобарабан EP-CART-B42/4300;42102802;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;20;25;0;0;RUB
8209;EP-CART-B42/4300-T;Картридж-фотобарабан для OKI  B4100/4200/4250/4300/4350, MB-218 ( 25000 стр);Фотобарабан EP-CART-B42/4300;42102802;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;14;0;0;RUB
8211;EP-CART-B930;Фотобарабан OKI B930(60000 стр.А4);Фотобарабан EP-CART-B930;01221701;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;27390;25100;RUB
8231;EP-CART-C-C5600-5700;Фотобарабан синий  для принтеров ОКИ С5600/5700(20000 стр.);Фотобарабан EP-CART-C-C5700;43381707;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;3;5800;5310;RUB
8235;EP-CART-C-C5650-5750-OKI;Фотобарабан синий  для принтеров ОКИ С5650/5750(20000 стр.);Фотобарабан EP-CART-C-C5650/5750;43870007;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;5800;5310;RUB
8236;EP-CART-C-C5800-5900;Фотобарабан синий  для принтеров ОКИ С5800/5900/5550MFP(20000 стр.);Фотобарабан EP-CART-C-C58/C59;43381723;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;9;5800;5310;RUB
8238;EP-CART-C-C5850-5950;Фотобарабан синий  для принтеров ОКИ С5850/5950(20000 стр.);Фотобарабан EP-CART-C-C5850/5950;43870023;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;6;5800;5310;RUB
8240;EP-CART-C-C610;Фотобарабан синий для принтеров ОКИ С610(ресурс 20000 отпечатков);Фотобарабан EP-CART-C-C610;44315107;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;3;8750;8010;RUB
8249;EP-CART-C-C711                      ;Фотобарабан синий для принтеров ОКI С711(ресурс 20000 отпечатков);Фотобарабан синий EP-CART-C-C711;44318507;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;11380;10420;RUB
8251;EP-CART-C-C810/830;Фотобарабан синий для принтеров ОКИ С810/830/801/821/MC860/851/861(ресурс 20000 отпечатков);Фотобарабан EP-CART-C-C810/830;44064011;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;0;10890;9980;RUB
64322;EP-CART-C-C824-834-844;Фотобарабан голубой EP-CART-C-C824/834/844;null;46857507;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;1;5;10400;9440;RUB
33355;EP-CART-C-C831/841/822;Фотокартридж голубой EP-CART-C-C831/841/822 для OKI C822/831/841(30000 стр. А4);Фотокартридж голубой EP-CART-C-C831/841;44844407;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;2;11290;10340;RUB
8257;EP-CART-C-C8600-OKI;Фотобарабан синий для принтеров ОКИ С8600/8800(ресурс 20000 отпечатков);Фотобарабан EP-CART-C-C8600;43449015;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;8;6250;5720;RUB
48774;EP-CART-C-C931;Фотобарабан синий EP-CART-C-C911/931, 40,000 стр. A4;null;45103715;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;6;36080;33070;RUB
42116;EP-CART-C-ES9431-9541;Фотобарабан голубой ES9431/ES9541 ( 40,000 стр. A4);Фотобарабан EP-CART-C-ES9431/9541;45103721;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;1;34650;30800;RUB
42120;EP-CART-CLEAR-ES9541;Фотобарабан прозрачный для ES9541 ( 20,000 стр. A4);Фотобарабан EP-CART-CLEAR-ES9541;45103724;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;0;0;RUB
42970;EP-CART-C-MC760-770-780;Фотобарабан EP-CART-C-MC760/770/780;null;45395703;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;2;19270;17650;RUB
48100;EP-CART-C-MC853-873;Фотокартридж голубой EP-CART-C-MC853/873/MC883, ресурс 30 000 страниц А4 при постоянной печати;null;44844471;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;5;8740;7580;RUB
57975;EP-CART-ES4132-4192;Фотобарабан для чб аппаратов ES серии EP-CART-ES4131/4132/4161/4191/4192/5162;null;01283601;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;15380;14240;RUB
43163;EP-CART-ES7131-7170-7180;Фотобарабан EP-CART-ES7131/7170/7180;null;45456302;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;4;0;0;RUB
8268;EP-CART-K-C3300-3400-OKI;Фотобарабан черный для принтеров ОКИ С3300/3400/3450(15000 стр.);Фотобарабан  EP-CART-K-C33/3400;43460208;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;0;0;RUB
8278;EP-CART-K-C5600-5700;Фотобарабан черный  для принтеров ОКИ С5600/5700(20000 стр.);Фотобарабан  EP-CART-K-C5700;43381708;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;0;5800;5310;RUB
8283;EP-CART-K-C5650-5750-OKI;Фотобарабан черный  для принтеров ОКИ С5650/5750(20000 стр.);Фотобарабан EP-CART-K-C5650/5750;43870008;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;2;5800;5310;RUB
8285;EP-CART-K-C5800-5900;Фотобарабан черный  для принтеров ОКИ С5800/5900/5550MFP(20000 стр.);Фотобарабан EP-CART-K-C58/C59;43381724;3246;Расходные материалы для лазерных и светодиодных принтеров OKI;0;6;5800;5310;RUB
